Llistat del pla docent per estudi;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Centre: ;;;6 - Facultat de Ciències, Tecnologia i Enginyeries;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Estudi: ;;;Tots;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Curs acadèmic: ;;;2025;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Identificador element;Centre;Descripció del Centre;Pla;Descripció del Pla;Codi de l'assignatura;Assignatura;Curs;Tipus de l?assignatura;Crèdits ECTS;Classe;Categoria;Tipologia;Grup;Observacions;Estudiants matriculats;places;Estudiants previstos assignatura;Estudiants màxim propis grup;Hores previstes per grup;Tipus del període;Valor del període;Torn;Idioma;Modalitat;Matricula Out;Altres plans de l?assignatura;Criteri d?assignació;Grup pare;EstudiGrup pare;Macrogrups fills;Matriculats fills;Identificador elementFill1;Identificador elementFill2;Identificador elementFill3;Identificador elementFill4;Identificador elementFill5;Identificador elementFill6;Identificador elementFill7;Identificador elementFill8;Identificador elementFill9;Identificador elementFill10;Identificador elementFill11;Identificador elementFill12;Identificador elementFill13;Identificador elementFill14;Identificador elementFill15;Identificador elementFill16;Identificador elementFill17;Identificador elementFill18;Identificador elementFill19;Identificador elementFill20;Identificador elementFill21;Identificador elementFill22;Identificador elementFill23
25_13078_1501;6;Facultat de Ciències, Tecnologia i Enginyeries;25;Enginyeria Mecatrònica;13078;Matemàtiques I;1;Normal;6;Formació bàsica;NO ESTÀNDARD;Laboratori / Taller;1501; ;0;30;40;30;60;S;1;Torn Tarda;Català;Presencial;0;;Manual;0;;0;0;;;;;;;;;;;;;;;;;;;;;;;
25_13078_1601;6;Facultat de Ciències, Tecnologia i Enginyeries;25;Enginyeria Mecatrònica;13078;Matemàtiques I;1;Normal;6;Formació bàsica;NO ESTÀNDARD;Laboratori / Taller;1601; ;0;30;40;30;60;S;1;Torn Tarda;Català;Presencial;0;;Manual;0;;0;0;;;;;;;;;;;;;;;;;;;;;;;
25_13079_15;6;Facultat de Ciències, Tecnologia i Enginyeries;25;Enginyeria Mecatrònica;13079;Tecnologia de Materials;1;Normal;6;Obligatòria;NO ESTÀNDARD;Grup Classe;15; ;66;69;35;69;180;S;2;Torn Tarda;Català;Presencial;0;;Manual;0;;0;0;;;;;;;;;;;;;;;;;;;;;;;
25_13079_1501;6;Facultat de Ciències, Tecnologia i Enginyeries;25;Enginyeria Mecatrònica;13079;Tecnologia de Materials;1;Normal;6;Obligatòria;NO ESTÀNDARD;Laboratori / Taller;1501; ;0;12;35;12;60;S;2;Torn Tarda;Català;Presencial;0;;Manual;0;;0;0;;;;;;;;;;;;;;;;;;;;;;;
25_13079_1502;6;Facultat de Ciències, Tecnologia i Enginyeries;25;Enginyeria Mecatrònica;13079;Tecnologia de Materials;1;Normal;6;Obligatòria;NO ESTÀNDARD;Laboratori / Taller;1502; ;0;12;35;12;60;S;2;Torn Tarda;Català;Presencial;0;;Manual;0;;0;0;;;;;;;;;;;;;;;;;;;;;;;
25_13079_1503;6;Facultat de Ciències, Tecnologia i Enginyeries;25;Enginyeria Mecatrònica;13079;Tecnologia de Materials;1;Normal;6;Obligatòria;NO ESTÀNDARD;Laboratori / Taller;1503; ;0;12;35;12;60;S;2;Torn Tarda;Català;Presencial;0;;Manual;0;;0;0;;;;;;;;;;;;;;;;;;;;;;;
25_13079_1504;6;Facultat de Ciències, Tecnologia i Enginyeries;25;Enginyeria Mecatrònica;13079;Tecnologia de Materials;1;Normal;6;Obligatòria;NO ESTÀNDARD;Laboratori / Taller;1504; ;0;12;35;12;60;S;2;Torn Tarda;Català;Presencial;0;;Manual;0;;0;0;;;;;;;;;;;;;;;;;;;;;;;
25_13079_1505;6;Facultat de Ciències, Tecnologia i Enginyeries;25;Enginyeria Mecatrònica;13079;Tecnologia de Materials;1;Normal;6;Obligatòria;NO ESTÀNDARD;Laboratori / Taller;1505; ;0;12;35;12;60;S;2;Torn Tarda;Català;Presencial;0;;Manual;0;;0;0;;;;;;;;;;;;;;;;;;;;;;;
25_13080_15;6;Facultat de Ciències, Tecnologia i Enginyeries;25;Enginyeria Mecatrònica;13080;Anàlisi de Circuits;1;Normal;6;Obligatòria;NO ESTÀNDARD;Grup Classe;15; ;73;80;35;80;200;S;2;Torn Tarda;Català;Presencial;0;;Manual;0;;0;0;;;;;;;;;;;;;;;;;;;;;;;
25_13080_1501;6;Facultat de Ciències, Tecnologia i Enginyeries;25;Enginyeria Mecatrònica;13080;Anàlisi de Circuits;1;Normal;6;Obligatòria;NO ESTÀNDARD;Laboratori / Taller;1501; ;0;20;35;20;40;S;2;Torn Tarda;Català;Presencial;0;;Manual;0;;0;0;;;;;;;;;;;;;;;;;;;;;;;
25_13080_1502;6;Facultat de Ciències, Tecnologia i Enginyeries;25;Enginyeria Mecatrònica;13080;Anàlisi de Circuits;1;Normal;6;Obligatòria;NO ESTÀNDARD;Laboratori / Taller;1502; ;0;20;35;20;40;S;2;Torn Tarda;Català;Presencial;0;;Manual;0;;0;0;;;;;;;;;;;;;;;;;;;;;;;
25_13080_1503;6;Facultat de Ciències, Tecnologia i Enginyeries;25;Enginyeria Mecatrònica;13080;Anàlisi de Circuits;1;Normal;6;Obligatòria;NO ESTÀNDARD;Laboratori / Taller;1503; ;0;20;35;20;40;S;2;Torn Tarda;Català;Presencial;0;;Manual;0;;0;0;;;;;;;;;;;;;;;;;;;;;;;
25_13080_1504;6;Facultat de Ciències, Tecnologia i Enginyeries;25;Enginyeria Mecatrònica;13080;Anàlisi de Circuits;1;Normal;6;Obligatòria;NO ESTÀNDARD;Laboratori / Taller;1504; ;0;20;35;20;40;S;2;Torn Tarda;Català; ;0;;Manual;0;;0;0;;;;;;;;;;;;;;;;;;;;;;;
25_13107_15;6;Facultat de Ciències, Tecnologia i Enginyeries;25;Enginyeria Mecatrònica;13107;Electrònica Digital;2;Normal;6;Obligatòria;NO ESTÀNDARD;Grup Classe;15; ;46;50;30;50;160;S;1;Torn Tarda;Català;Presencial;0;;Manual;0;;0;0;;;;;;;;;;;;;;;;;;;;;;;
