Llistat del pla docent per estudi;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Centre: ;;;6 - Facultat de Ciències, Tecnologia i Enginyeries;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Estudi: ;;;Tots;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Curs acadèmic: ;;;2025;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Identificador element;Centre;Descripció del Centre;Pla;Descripció del Pla;Codi de l'assignatura;Assignatura;Curs;Tipus de l?assignatura;Crèdits ECTS;Classe;Categoria;Tipologia;Grup;Observacions;Estudiants matriculats;places;Estudiants previstos assignatura;Estudiants màxim propis grup;Hores previstes per grup;Tipus del període;Valor del període;Torn;Idioma;Modalitat;Matricula Out;Altres plans de l?assignatura;Criteri d?assignació;Grup pare;EstudiGrup pare;Macrogrups fills;Matriculats fills;Identificador elementFill1;Identificador elementFill2;Identificador elementFill3;Identificador elementFill4;Identificador elementFill5;Identificador elementFill6;Identificador elementFill7;Identificador elementFill8;Identificador elementFill9;Identificador elementFill10;Identificador elementFill11;Identificador elementFill12;Identificador elementFill13;Identificador elementFill14;Identificador elementFill15;Identificador elementFill16;Identificador elementFill17;Identificador elementFill18;Identificador elementFill19;Identificador elementFill20;Identificador elementFill21;Identificador elementFill22;Identificador elementFill23
27_13047_13;6;Facultat de Ciències, Tecnologia i Enginyeries;27;Biotecnologia;13047;Fonaments de Física;1;Normal;6;Formació bàsica;NO ESTÀNDARD;Grup Classe;13; ;16;40;50;40;0;S;2;Torn Matí;Català;Presencial;0;;Manual;0;30_13391_13;0;0;;;;;;;;;;;;;;;;;;;;;;;
27_13049_11;6;Facultat de Ciències, Tecnologia i Enginyeries;27;Biotecnologia;13049;Biologia Animal;1;Normal;6;Formació bàsica;NO ESTÀNDARD;Grup Classe;11; ;67;80;40;80;0;S;2;Torn Matí;Català;Presencial;0;;Alternància;0;30_13368_11;0;0;;;;;;;;;;;;;;;;;;;;;;;
27_13049_12;6;Facultat de Ciències, Tecnologia i Enginyeries;27;Biotecnologia;13049;Biologia Animal;1;Normal;6;Formació bàsica;NO ESTÀNDARD;Grup Classe;12; ;0;0;40;0;0;S;2;Torn Matí;Català;Presencial;0;;Alternància;0;30_13368_12;0;0;;;;;;;;;;;;;;;;;;;;;;;
25_13069_15;6;Facultat de Ciències, Tecnologia i Enginyeries;25;Enginyeria Mecatrònica;13069;Electrotècnia;2;Normal;6;Obligatòria;NO ESTÀNDARD;Grup Classe;15; ;39;45;24;45;200;S;1;Torn Tarda;Català;Presencial;0;;Manual;0;;0;0;;;;;;;;;;;;;;;;;;;;;;;
25_13069_1501;6;Facultat de Ciències, Tecnologia i Enginyeries;25;Enginyeria Mecatrònica;13069;Electrotècnia;2;Normal;6;Obligatòria;NO ESTÀNDARD;Laboratori / Taller;1501; ;0;24;24;24;40;S;1;Torn Tarda;Català;Presencial;0;;Manual;0;;0;0;;;;;;;;;;;;;;;;;;;;;;;
25_13069_1502;6;Facultat de Ciències, Tecnologia i Enginyeries;25;Enginyeria Mecatrònica;13069;Electrotècnia;2;Normal;6;Obligatòria;NO ESTÀNDARD;Laboratori / Taller;1502; ;0;24;24;24;40;S;1;Torn Tarda;Català;Presencial;0;;Manual;0;;0;0;;;;;;;;;;;;;;;;;;;;;;;
25_13070_15;6;Facultat de Ciències, Tecnologia i Enginyeries;25;Enginyeria Mecatrònica;13070;Física Mecànica;1;Normal;6;Formació bàsica;NO ESTÀNDARD;Grup Classe;15;No informat;42;90;40;90;180;S;1;Torn Tarda;Català;Presencial;0;;Manual;0;;0;0;;;;;;;;;;;;;;;;;;;;;;;
25_13070_16;6;Facultat de Ciències, Tecnologia i Enginyeries;25;Enginyeria Mecatrònica;13070;Física Mecànica;1;Normal;6;Formació bàsica;NO ESTÀNDARD;Grup Classe;16;No informat;38;60;40;60;180;S;1;Torn Tarda;Català;Presencial;0;;Manual;0;;0;0;;;;;;;;;;;;;;;;;;;;;;;
25_13070_1501;6;Facultat de Ciències, Tecnologia i Enginyeries;25;Enginyeria Mecatrònica;13070;Física Mecànica;1;Normal;6;Formació bàsica;NO ESTÀNDARD;Laboratori / Taller;1501;No informat;0;30;40;30;60;S;1;Torn Tarda;Català;Presencial;0;;Manual;0;;0;0;;;;;;;;;;;;;;;;;;;;;;;
25_13070_1601;6;Facultat de Ciències, Tecnologia i Enginyeries;25;Enginyeria Mecatrònica;13070;Física Mecànica;1;Normal;6;Formació bàsica;NO ESTÀNDARD;Laboratori / Taller;1601;No informat;0;30;40;30;60;S;1;Torn Tarda;Català;Presencial;0;;Manual;0;;0;0;;;;;;;;;;;;;;;;;;;;;;;
